# Integration weights for the "1d Gauss, m=80" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
6.722841771453992128e-06 2.047062771538572523e-01 5.925395044749093287e-04 7.947011833416678384e-01
6.036643016524749740e-06 1.893093232578928475e-01 5.479717288366381389e-04 8.101427050132705698e-01
5.385836082009012834e-06 1.743774785144343031e-01 5.047502506865808591e-04 8.251177712348791715e-01
4.772082880406139763e-06 1.599332018393784249e-01 4.629400792422466715e-04 8.396038580813793839e-01
4.196718027155135194e-06 1.459982188007007409e-01 4.226041009839920370e-04 8.535791770983152116e-01
3.660744358600944176e-06 1.325934889413461493e-01 3.838029850684598898e-04 8.670227080735853908e-01
3.164830597096086245e-06 1.197391742544215987e-01 3.465950920773508415e-04 8.799142306535010505e-01
2.709311171716721605e-06 1.074546088581059822e-01 3.110363862387499623e-04 8.922343547556552679e-01
2.294188189892540877e-06 9.575826991596569915e-02 2.771803512539028347e-04 9.039645497327803980e-01
1.919135542102267734e-06 8.466774984652492009e-02 2.450779098550071033e-04 9.150871722436200173e-01
1.583505108755745307e-06 7.419972986406930815e-02 2.147773472172542775e-04 9.255854927887134931e-01
1.286335025547915301e-06 6.436995489078611854e-02 1.863242383397523128e-04 9.354437208708741291e-01
1.026359951006842459e-06 5.519320987851661364e-02 1.597613795067953646e-04 9.446470287419765910e-01
8.020232677431744494e-07 4.668329757671429991e-02 1.351287239353959890e-04 9.531815736993503041e-01
6.114911371157337380e-07 3.885301778192973288e-02 1.124633217112203099e-04 9.610345188963590468e-01
4.526683157289959068e-07 3.171414810381312233e-02 9.179926411417849152e-05 9.681940526320726992e-01
3.232156314406636882e-07 2.527742628464990648e-02 7.316763244075152883e-05 9.746494060829092865e-01
2.205690064482839187e-07 1.955253411764057425e-02 5.659645145411618117e-05 9.803908694309053651e-01
1.419599056063330056e-07 1.454808303500687572e-02 4.211064766784788915e-05 9.854098063173253319e-01
8.443707946701021159e-08 1.027160151982120517e-02 2.973201290817906184e-05 9.896986664672706713e-01
4.488946374926353851e-08 6.729524792780550158e-03 1.947917446160074562e-05 9.932509960327577936e-01
2.007009033673527403e-08 3.927188517784396815e-03 1.136757685527012285e-05 9.960614439053603331e-01
6.620861673854981381e-09 1.868835864096030086e-03 5.409502298880930482e-06 9.981257546336050890e-01
1.098066807408695814e-09 5.577223476279646874e-04 1.614374156411191308e-06 9.994406632782156796e-01
1.608616895007609877e-06 9.944264794632931004e-01 5.353168910668781866e-03 2.203516260382287761e-04
3.738686288939759878e-06 9.934912102336446171e-01 5.348134195416687220e-03 1.160655570938640135e-03
5.857877101016023435e-06 9.918100657939190601e-01 5.339084305520380713e-03 2.850849900560559202e-03
7.955360171569768291e-06 9.893852006881089789e-01 5.326030839261142180e-03 5.288768472629934436e-03
1.002308829143450905e-05 9.862202162943956019e-01 5.308993183477550559e-03 8.470790522126903088e-03
1.205334741960408487e-05 9.823198620904769474e-01 5.287996905425640382e-03 1.239214100409752328e-02
1.403864307760734806e-05 9.776900009236737521e-01 5.263073565821674293e-03 1.704692551050451810e-02
1.597171661075043203e-05 9.723375950492132436e-01 5.234260643683930070e-03 2.242814430710277085e-02
1.784557709382848345e-05 9.662706942907027807e-01 5.201601472598627041e-03 2.852770423669859223e-02
1.965353507590671852e-05 9.594984234773262788e-01 5.165145173091856279e-03 3.533643134958180942e-02
2.138923547255650070e-05 9.520309685420713652e-01 5.124946577794164959e-03 4.284408488013446981e-02
2.304668881579718221e-05 9.438795611237587035e-01 5.081066148550694717e-03 5.103937272769060174e-02
2.462030050833792478e-05 9.350564616364267501e-01 5.033569885280642087e-03 5.990996847829260785e-02
2.610489785678527449e-05 9.255749408095018671e-01 4.982529226604748285e-03 6.944252996389332910e-02
